_M_Barrio_mut0,edu.uclm.esi.iso5.juegos.monopoly.dominio.Barrio,todasLasCallesPertenecenAlMismo,||,&&
_M_Dados_mut14,edu.uclm.esi.iso5.juegos.monopoly.dominio.Dados,tirarDados,==,<
_M_Dados_mut15,edu.uclm.esi.iso5.juegos.monopoly.dominio.Dados,tirarDados,==,>
_M_Dados_mut16,edu.uclm.esi.iso5.juegos.monopoly.dominio.Dados,tirarDados,==,<=
_M_Dados_mut17,edu.uclm.esi.iso5.juegos.monopoly.dominio.Dados,tirarDados,==,>=
_M_Dados_mut18,edu.uclm.esi.iso5.juegos.monopoly.dominio.Dados,tirarDados,==,!=
_M_Dados_mut19,edu.uclm.esi.iso5.juegos.monopoly.dominio.Dados,tirarDados,==,<
_M_Dados_mut20,edu.uclm.esi.iso5.juegos.monopoly.dominio.Dados,tirarDados,==,>
_M_Dados_mut21,edu.uclm.esi.iso5.juegos.monopoly.dominio.Dados,tirarDados,==,<=
_M_Dados_mut22,edu.uclm.esi.iso5.juegos.monopoly.dominio.Dados,tirarDados,==,>=
_M_Dados_mut23,edu.uclm.esi.iso5.juegos.monopoly.dominio.Dados,suma,+,-
_M_Dados_mut24,edu.uclm.esi.iso5.juegos.monopoly.dominio.Dados,suma,+,*
_M_Dados_mut25,edu.uclm.esi.iso5.juegos.monopoly.dominio.Dados,suma,+,/
_M_Dados_mut26,edu.uclm.esi.iso5.juegos.monopoly.dominio.Dados,suma,+,%
_M_Estacion_mut0,edu.uclm.esi.iso5.juegos.monopoly.dominio.Estacion,getTasaPorCaer,/,+
_M_Estacion_mut1,edu.uclm.esi.iso5.juegos.monopoly.dominio.Estacion,getTasaPorCaer,/,-
_M_Estacion_mut2,edu.uclm.esi.iso5.juegos.monopoly.dominio.Estacion,getTasaPorCaer,/,*
_M_Estacion_mut3,edu.uclm.esi.iso5.juegos.monopoly.dominio.Estacion,getTasaPorCaer,/,%
_M_Estacion_mut4,edu.uclm.esi.iso5.juegos.monopoly.dominio.Estacion,getTasaPorCaer,/,+
_M_Estacion_mut5,edu.uclm.esi.iso5.juegos.monopoly.dominio.Estacion,getTasaPorCaer,/,-
_M_Estacion_mut6,edu.uclm.esi.iso5.juegos.monopoly.dominio.Estacion,getTasaPorCaer,/,*
_M_Estacion_mut7,edu.uclm.esi.iso5.juegos.monopoly.dominio.Estacion,getTasaPorCaer,/,%
_M_Estacion_mut8,edu.uclm.esi.iso5.juegos.monopoly.dominio.Estacion,getTasaPorCaer,/,+
