_M_Barrio_mut0,edu.uclm.esi.iso5.juegos.monopoly.dominio.Barrio,todasLasCallesPertenecenAlMismo,||,&&
_M_Jugador_mut161,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,*,%
_M_Jugador_mut162,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,levantarHipoteca,*,+
_M_Jugador_mut163,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,levantarHipoteca,*,-
_M_Jugador_mut164,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,levantarHipoteca,*,/
_M_Jugador_mut165,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,levantarHipoteca,*,%
_M_Jugador_mut166,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,levantarHipoteca,/,+
_M_Jugador_mut167,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,levantarHipoteca,/,-
_M_Jugador_mut168,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,levantarHipoteca,/,*
_M_Jugador_mut169,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,levantarHipoteca,/,%
_M_Jugador_mut170,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,levantarHipoteca,<,==
_M_Jugador_mut171,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,levantarHipoteca,<,!=
_M_Jugador_mut172,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,levantarHipoteca,<,>
_M_Jugador_mut173,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,levantarHipoteca,<,<=
_M_Jugador_mut174,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,levantarHipoteca,<,>=
_M_Jugador_mut175,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,desecharOpcionDeCompra,==,!=
_M_Jugador_mut176,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,desecharOpcionDeCompra,==,<
_M_Jugador_mut177,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,desecharOpcionDeCompra,==,>
_M_Jugador_mut178,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,desecharOpcionDeCompra,==,<=
_M_Jugador_mut179,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,desecharOpcionDeCompra,==,>=
_M_Jugador_mut180,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,devolverEdificaciones,<,==
_M_Jugador_mut181,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,devolverEdificaciones,<,!=
_M_Jugador_mut182,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,devolverEdificaciones,<,>
_M_Jugador_mut183,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,devolverEdificaciones,<,<=
_M_Jugador_mut184,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,devolverEdificaciones,<,>=
_M_Jugador_mut185,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,devolverEdificaciones,*,+
_M_Jugador_mut186,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,devolverEdificaciones,*,-
_M_Jugador_mut187,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,devolverEdificaciones,*,/
_M_Jugador_mut188,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,devolverEdificaciones,*,%
_M_Jugador_mut189,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,devolverEdificaciones,/,+
_M_Jugador_mut190,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,devolverEdificaciones,/,-
_M_Jugador_mut191,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,devolverEdificaciones,/,*
_M_Jugador_mut192,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,devolverEdificaciones,/,%
_M_Tablero_mut0,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,!=
_M_Tablero_mut1,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,<
_M_Tablero_mut2,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,>
_M_Tablero_mut3,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,<=
_M_Tablero_mut4,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,>=
_M_Tablero_mut5,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,<=,==
_M_Tablero_mut6,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,<=,!=
_M_Tablero_mut7,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,<=,<
_M_Tablero_mut8,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,<=,>
_M_Tablero_mut9,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,<=,>=
_M_Tablero_mut10,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,>,==
_M_Tablero_mut11,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,>,!=
_M_Tablero_mut12,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,>,<
_M_Tablero_mut13,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,>,<=
_M_Tablero_mut14,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,>,>=
_M_Tablero_mut15,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,==,!=
_M_Tablero_mut16,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,==,<
_M_Tablero_mut17,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,==,>
_M_Tablero_mut18,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,==,<=
_M_Tablero_mut19,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,==,>=
_M_Tablero_mut20,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,==,!=
_M_Tablero_mut21,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,==,<
_M_Tablero_mut22,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,==,>
_M_Tablero_mut23,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,==,<=
_M_Tablero_mut24,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,comenzarPartida,==,>=
_M_Tablero_mut25,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,setJugadorConElTurno,<,==
_M_Tablero_mut26,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,setJugadorConElTurno,<,!=
_M_Tablero_mut27,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,setJugadorConElTurno,<,>
_M_Tablero_mut28,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,setJugadorConElTurno,<,<=
_M_Tablero_mut29,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,setJugadorConElTurno,<,>=
_M_Tablero_mut30,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,+,-
_M_Tablero_mut31,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,+,*
_M_Tablero_mut32,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,+,/
_M_Tablero_mut33,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,+,%
_M_Tablero_mut34,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,%,+
_M_Tablero_mut35,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,%,-
_M_Tablero_mut36,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,%,*
_M_Tablero_mut37,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,%,/
_M_Tablero_mut38,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,>,==
_M_Tablero_mut39,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,>,!=
_M_Tablero_mut40,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,>,<
_M_Tablero_mut41,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,>,<=
_M_Tablero_mut42,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,>,>=
_M_Tablero_mut43,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,-,+
_M_Tablero_mut44,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,-,*
_M_Tablero_mut45,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,-,/
_M_Tablero_mut46,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,-,%
_M_Tablero_mut47,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,==,!=
_M_Tablero_mut48,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,==,<
_M_Tablero_mut49,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,==,>
_M_Tablero_mut50,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,==,<=
_M_Tablero_mut51,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cambiarTurno,==,>=
_M_Tablero_mut52,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,!=
_M_Tablero_mut53,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,<
_M_Tablero_mut54,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,>
_M_Tablero_mut55,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,<=
_M_Tablero_mut56,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,>=
_M_Tablero_mut57,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,!=
_M_Tablero_mut58,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,<
_M_Tablero_mut59,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,>
_M_Tablero_mut60,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,<=
_M_Tablero_mut61,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,add,==,>=
_M_Tablero_mut62,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,==,!=
_M_Tablero_mut63,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,==,<
_M_Tablero_mut64,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,==,>
_M_Tablero_mut65,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,==,<=
_M_Tablero_mut66,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,==,>=
_M_Tablero_mut67,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,==,!=
_M_Tablero_mut68,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,==,<
_M_Tablero_mut69,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,==,>
_M_Tablero_mut70,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,==,<=
_M_Tablero_mut71,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,==,>=
_M_Tablero_mut72,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,-,+
_M_Tablero_mut73,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,-,*
_M_Tablero_mut74,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,-,/
_M_Tablero_mut75,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,-,%
_M_Tablero_mut76,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,-,+
_M_Tablero_mut77,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,-,*
_M_Tablero_mut78,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,-,/
_M_Tablero_mut79,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,popTarjeta,-,%
_M_Tablero_mut80,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,==,!=
_M_Tablero_mut81,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,==,<
_M_Tablero_mut82,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,==,>
_M_Tablero_mut83,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,==,<=
_M_Tablero_mut84,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,==,>=
_M_Tablero_mut85,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,==,!=
_M_Tablero_mut86,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,==,<
_M_Tablero_mut87,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,==,>
_M_Tablero_mut88,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,==,<=
_M_Tablero_mut89,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,==,>=
_M_Tablero_mut90,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,-,+
_M_Tablero_mut91,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,-,*
_M_Tablero_mut92,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,-,/
_M_Tablero_mut93,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,-,%
_M_Tablero_mut94,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,-,+
_M_Tablero_mut95,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,-,*
_M_Tablero_mut96,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,-,/
_M_Tablero_mut97,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,cogerTarjeta,-,%
_M_Tablero_mut98,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,devolverTarjeta,==,!=
_M_Tablero_mut99,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,devolverTarjeta,==,<
_M_Tablero_mut100,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,devolverTarjeta,==,>
_M_Tablero_mut101,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,devolverTarjeta,==,<=
_M_Tablero_mut102,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,devolverTarjeta,==,>=
_M_Tablero_mut103,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,devolverTarjeta,==,!=
_M_Tablero_mut104,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,devolverTarjeta,==,<
_M_Tablero_mut105,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,devolverTarjeta,==,>
_M_Tablero_mut106,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,devolverTarjeta,==,<=
_M_Tablero_mut107,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,devolverTarjeta,==,>=
_M_Tablero_mut108,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,getTarjetas,==,!=
_M_Tablero_mut109,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,getTarjetas,==,<
_M_Tablero_mut110,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,getTarjetas,==,>
_M_Tablero_mut111,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,getTarjetas,==,<=
_M_Tablero_mut112,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,getTarjetas,==,>=
_M_Tablero_mut113,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,getTarjetas,==,!=
_M_Tablero_mut114,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,getTarjetas,==,<
_M_Tablero_mut115,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,getTarjetas,==,>
_M_Tablero_mut116,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,getTarjetas,==,<=
_M_Tablero_mut117,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,getTarjetas,==,>=
_M_Tablero_mut118,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,pierde,==,!=
_M_Tablero_mut119,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,pierde,==,<
_M_Tablero_mut120,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,pierde,==,>
_M_Tablero_mut121,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,pierde,==,<=
_M_Tablero_mut122,edu.uclm.esi.iso5.juegos.monopoly.dominio.Tablero,pierde,==,>=
_M_Pagar_mut0,edu.uclm.esi.iso5.juegos.monopoly.dominio.tarjetas.Pagar,operaciones,>,==
_M_Pagar_mut1,edu.uclm.esi.iso5.juegos.monopoly.dominio.tarjetas.Pagar,operaciones,>,!=
_M_Pagar_mut2,edu.uclm.esi.iso5.juegos.monopoly.dominio.tarjetas.Pagar,operaciones,>,<
_M_Pagar_mut3,edu.uclm.esi.iso5.juegos.monopoly.dominio.tarjetas.Pagar,operaciones,>,<=
_M_Pagar_mut4,edu.uclm.esi.iso5.juegos.monopoly.dominio.tarjetas.Pagar,operaciones,>,>=
_M_QuedaLibreDeLaCarcel_mut0,edu.uclm.esi.iso5.juegos.monopoly.dominio.tarjetas.QuedaLibreDeLaCarcel,operaciones,==,!=
_M_QuedaLibreDeLaCarcel_mut1,edu.uclm.esi.iso5.juegos.monopoly.dominio.tarjetas.QuedaLibreDeLaCarcel,operaciones,==,<
_M_QuedaLibreDeLaCarcel_mut2,edu.uclm.esi.iso5.juegos.monopoly.dominio.tarjetas.QuedaLibreDeLaCarcel,operaciones,==,>
_M_QuedaLibreDeLaCarcel_mut3,edu.uclm.esi.iso5.juegos.monopoly.dominio.tarjetas.QuedaLibreDeLaCarcel,operaciones,==,<=
_M_QuedaLibreDeLaCarcel_mut4,edu.uclm.esi.iso5.juegos.monopoly.dominio.tarjetas.QuedaLibreDeLaCarcel,operaciones,==,>=
